state,year,pm25,coal,lngdp,income,binary_income,score,expenditure,pm25xbinary_income,coalxbinary_income,constant,state_code,score_hat,pm25_hat
Alabama,2001,2.7400837,17.335989,5.0553102,10.467665,0,6.3171649,8.1967125,0,0,1,Alabama,2.4903104,2.4903104
Alabama,2002,2.689055,17.328396,5.0778103,10.53476,0,6.3261495,8.2139235,0,0,1,Alabama,2.4247043,2.4247043
Alabama,2003,2.6929207,17.387863,5.1067615,10.525676,0,6.3135481,8.2459097,0,0,1,Alabama,2.4200978,2.4200978
Alabama,2004,2.6894023,17.373241,5.1740289,10.508623,0,6.3153582,8.2824831,0,0,1,Alabama,2.3998957,2.3998957
Alabama,2005,2.7584941,17.426344,5.2169418,10.522719,0,6.3261495,8.3402176,0,0,1,Alabama,2.4746346,2.4746346
Alabama,2006,2.7229426,17.430946,5.2325559,10.544024,0,6.329721,8.4102755,0,0,1,Alabama,2.4177711,2.4177711
Alabama,2007,2.7479594,17.432705,5.2417603,10.650413,0,6.3207684,8.5002508,0,0,1,Alabama,2.4454627,2.4454627
Alabama,2008,2.5574942,17.394722,5.2308235,10.702795,0,6.3225651,8.5934134,0,0,1,Alabama,2.3739552,2.3739552
Alabama,2009,2.370043,17.132729,5.196878,10.596134,0,6.3135481,8.5615931,0,0,1,Alabama,2.2487192,2.2487192
Alabama,2010,2.4759872,17.249012,5.2187457,10.619618,0,6.3099184,8.558527,0,0,1,Alabama,2.2645493,2.2645493
Alabama,2011,2.4513938,17.15309,5.2343431,10.659375,0,6.2934194,8.5352297,0,0,1,Alabama,2.2535408,2.2535408
Alabama,2012,2.318363,16.951895,5.2430453,10.679596,0,6.2747622,8.5103703,0,0,1,Alabama,2.193464,2.193464
Alabama,2013,2.2626712,17.010103,5.2542076,10.764688,0,6.280396,8.5249634,0,0,1,Alabama,2.1589878,2.1589878
Alabama,2014,2.31178,16.989443,5.2464256,10.652069,0,6.2878585,8.5506277,0,0,1,Alabama,2.1325431,2.1325431
Alabama,2015,2.2761178,16.861244,5.2540269,10.703469,0,6.2878585,8.5569906,0,0,1,Alabama,2.1012299,2.1012299
Alaska,2001,1.7475042,13.150976,3.7125642,10.957103,1,6.2344108,8.5754623,1.7475042,13.150976,1,Alaska,1.3915688,1.3915688
Alaska,2002,1.6446468,13.239296,3.7607117,10.873698,1,6.251904,8.6335526,1.6446468,13.239296,1,Alaska,1.3833777,1.3833777
Alaska,2003,1.4616323,12.741235,3.7460935,10.855917,1,6.2499752,8.6552143,1.4616323,12.741235,1,Alaska,1.2764186,1.2764186
Alaska,2004,2.0190067,12.881639,3.7854388,10.916179,1,6.2422233,8.6706009,2.0190067,12.881639,1,Alaska,1.2513731,1.2513731
Alaska,2005,1.5102781,12.895245,3.8211591,10.931141,1,6.251904,8.7422552,1.5102781,12.895245,1,Alaska,1.3216289,1.3216289
Alaska,2006,1.8502345,12.919032,3.8956945,10.940579,1,6.2480431,8.7890511,1.8502345,12.919032,1,Alaska,1.2850636,1.2850636
Alaska,2007,1.8306929,12.933969,3.945864,11.050732,1,6.2480431,8.8566608,1.8306929,12.933969,1,Alaska,1.3232905,1.3232905
Alaska,2008,1.8894228,12.965073,3.9367566,11.066483,1,6.253829,9.0511103,1.8894228,12.965073,1,Alaska,1.2993912,1.2993912
Alaska,2009,2.1386898,12.986656,4.0291853,11.028418,1,6.2461066,9.0594015,2.1386898,12.986656,1,Alaska,1.2693275,1.2693275
Alaska,2010,1.9577,12.923492,4.0000615,10.965609,1,6.2441669,9.0798903,1.9577,12.923492,1,Alaska,1.2573612,1.2573612
Alaska,2011,1.8213904,12.922362,4.0124168,10.958323,1,6.2363696,9.1296721,1.8213904,12.922362,1,Alaska,1.2883981,1.2883981
Alaska,2012,1.9113497,12.965071,4.065321,11.061154,1,6.2285109,9.1741953,1.9113497,12.965071,1,Alaska,1.2926083,1.2926083
Alaska,2013,2.1289659,12.898284,4.0137544,11.190928,1,6.2245584,9.2217751,2.1289659,12.898284,1,Alaska,1.2191664,1.2191664
Alaska,2014,2.304913,13.391994,3.9924631,11.121807,1,6.2205901,9.2416449,2.304913,13.391994,1,Alaska,1.2565275,1.2565275
Alaska,2015,2.3390126,13.502158,4.0026093,11.226709,1,6.2205901,9.3372374,2.3390126,13.502158,1,Alaska,1.2824613,1.2824613
Arizona,2001,2.0091982,16.81909,5.362072,10.661954,1,6.2633982,8.0478296,2.0091982,16.81909,1,Arizona,2.4607639,2.4607639
Arizona,2002,1.9882469,16.777063,5.3967896,10.589862,0,6.2595816,8.1599464,0,0,1,Arizona,2.4432077,2.4432077
Arizona,2003,1.8918769,16.779652,5.4556026,10.625465,0,6.2633982,8.2335033,0,0,1,Arizona,2.4487903,2.4487903
Arizona,2004,1.7515389,16.814234,5.4984679,10.68853,0,6.2614918,8.1875772,0,0,1,Arizona,2.3897972,2.3897972
Arizona,2005,1.9344356,16.827759,5.5695882,10.719958,0,6.2728772,8.2591991,0,0,1,Arizona,2.471694,2.471694
Arizona,2006,1.9856191,16.836245,5.6137824,10.750643,0,6.2690964,8.303257,0,0,1,Arizona,2.4172304,2.4172304
Arizona,2007,1.967757,16.869009,5.6463323,10.762573,0,6.2633982,8.4002094,0,0,1,Arizona,2.4736061,2.4736061
Arizona,2008,1.9182452,16.936003,5.6376786,10.755986,0,6.2576675,8.3822899,0,0,1,Arizona,2.3918993,2.3918993
Arizona,2009,1.8411276,16.84864,5.5510139,10.730728,0,6.2557502,8.4142742,0,0,1,Arizona,2.2810264,2.2810264
Arizona,2010,1.7878392,16.954653,5.561862,10.755773,0,6.2633982,8.3929892,0,0,1,Arizona,2.2850997,2.2850997
Arizona,2011,2.0389214,16.960386,5.583878,10.79179,0,6.2595816,8.3440294,0,0,1,Arizona,2.2842667,2.2842667
Arizona,2012,2.0209777,16.881739,5.6037412,10.758754,0,6.2633982,8.302762,0,0,1,Arizona,2.2489042,2.2489042
Arizona,2013,1.9476376,16.963871,5.6112356,10.870662,0,6.2690964,8.3140974,0,0,1,Arizona,2.2119305,2.2119305
Arizona,2014,1.9736577,16.947128,5.6238332,10.804665,0,6.2633982,8.303257,0,0,1,Arizona,2.1763773,2.1763773
Arizona,2015,1.8439547,16.801817,5.6439509,10.863795,0,6.2672005,8.3111525,0,0,1,Arizona,2.1468556,2.1468556
Arkansas,2001,2.5847182,16.530867,4.4974623,10.414514,0,6.3099184,8.1315308,0,0,1,Arkansas,2.1381922,2.1381922
Arkansas,2002,2.4696534,16.466286,4.5320673,10.385605,0,6.3207684,8.2602339,0,0,1,Arkansas,2.1165912,2.1165912
Arkansas,2003,2.4791787,16.476456,4.5741386,10.373491,0,6.3171649,8.2842522,0,0,1,Arkansas,2.1076903,2.1076903
Arkansas,2004,2.4459088,16.544559,4.6223578,10.462532,0,6.3189683,8.3313456,0,0,1,Arkansas,2.0813632,2.0813632
Arkansas,2005,2.652853,16.456791,4.6632504,10.509441,0,6.3135481,8.4467707,0,0,1,Arkansas,2.1478891,2.1478891
Arkansas,2006,2.4652143,16.497494,4.6863871,10.520293,0,6.3421216,8.4834299,0,0,1,Arkansas,2.0903366,2.0903366
Arkansas,2007,2.5110428,16.564653,4.6784773,10.616437,0,6.338594,8.5103703,0,0,1,Arkansas,2.1027644,2.1027644
Arkansas,2008,2.4034357,16.567797,4.6684875,10.586331,0,6.3403592,8.5301094,0,0,1,Arkansas,2.0259371,2.0259371
Arkansas,2009,2.3027303,16.523159,4.634696,10.506163,0,6.3491392,8.5448084,0,0,1,Arkansas,1.944169,1.944169
Arkansas,2010,2.430434,16.62114,4.6602454,10.560748,0,6.338594,8.5855989,0,0,1,Arkansas,1.9682239,1.9682239
Arkansas,2011,2.4214315,16.675724,4.6815062,10.628618,0,6.3456364,8.598773,0,0,1,Arkansas,1.9895083,1.9895083
Arkansas,2012,2.3080623,16.650059,4.6866775,10.57183,0,6.338594,8.5934134,0,0,1,Arkansas,1.9707105,1.9707105
Arkansas,2013,2.255635,16.74754,4.7072968,10.581014,0,6.3456364,8.5869055,0,0,1,Arkansas,1.9494355,1.9494355
Arkansas,2014,2.2235169,16.774632,4.7161255,10.712639,0,6.3473892,8.6081305,0,0,1,Arkansas,1.9023472,1.9023472
Arkansas,2015,2.1620433,16.366159,4.7216277,10.664293,0,6.3438807,8.6130486,0,0,1,Arkansas,1.8413622,1.8413622
Colorado,2001,2.0537097,16.799421,5.4594979,10.807706,1,6.2952662,8.2308435,2.0537097,16.799421,1,Colorado,2.5335789,2.5335789
Colorado,2002,1.9984426,16.783154,5.4613595,10.78498,1,6.3062754,8.2965469,1.9984426,16.783154,1,Colorado,2.4858339,2.4858339
Colorado,2003,1.9685001,16.790827,5.4713554,10.818578,1,6.3153582,8.3499575,1.9685001,16.790827,1,Colorado,2.4670088,2.4670088
Colorado,2004,1.9015814,16.773085,5.4837489,10.837421,1,6.3153582,8.3619423,1.9015814,16.773085,1,Colorado,2.4123068,2.4123068
Colorado,2005,1.9100938,16.760639,5.5276752,10.828738,1,6.3279366,8.3957033,1.9100938,16.760639,1,Colorado,2.4732378,2.4732378
Colorado,2006,1.9195219,16.796484,5.5507488,10.927735,1,6.3350544,8.4309816,1.9195219,16.796484,1,Colorado,2.4026318,2.4026318
Colorado,2007,1.9987624,16.787609,5.5868273,11.020922,1,6.3368258,8.4747028,1.9987624,16.787609,1,Colorado,2.4266009,2.4266009
Colorado,2008,1.8676932,16.757938,5.6020503,11.017645,1,6.3456364,8.5752735,1.8676932,16.757938,1,Colorado,2.3764033,2.3764033
Colorado,2009,1.802393,16.669176,5.5796027,10.931856,1,6.3543701,8.5293198,1.802393,16.669176,1,Colorado,2.2743046,2.2743046
Colorado,2010,1.7999471,16.758842,5.5904603,11.005926,1,6.3491392,8.5426664,1.7999471,16.758842,1,Colorado,2.280159,2.280159
Colorado,2011,1.7783483,16.746387,5.6047006,10.979002,1,6.3508859,8.5251617,1.7783483,16.746387,1,Colorado,2.2918673,2.2918673
Colorado,2012,1.8580093,16.770346,5.6233788,10.955358,1,6.3647509,8.5067387,1.8580093,16.770346,1,Colorado,2.2772267,2.2772267
Colorado,2013,1.7876353,16.750546,5.6568975,11.125938,1,6.3647509,8.5247641,1.7876353,16.750546,1,Colorado,2.2294314,2.2294314
Colorado,2014,1.8119889,16.699038,5.6992903,11.017645,1,6.3733196,8.5502415,1.8119889,16.699038,1,Colorado,2.2174163,2.2174163
Colorado,2015,1.7807848,16.679375,5.7443156,11.10646,1,6.3750248,8.565793,1.7807848,16.679375,1,Colorado,2.2148089,2.2148089
Connecticut,2001,2.6189291,14.29999,5.3851156,10.884629,1,6.2344108,8.7747765,2.6189291,14.29999,1,Connecticut,2.2909403,2.2909403
Connecticut,2002,2.5733771,14.226215,5.3784108,10.885379,1,6.2324481,8.8205519,2.5733771,14.226215,1,Connecticut,2.2218649,2.2218649
Connecticut,2003,2.5567002,14.534039,5.3899207,10.914543,1,6.2422233,8.8610668,2.5567002,14.534039,1,Connecticut,2.2450008,2.2450008
Connecticut,2004,2.4866445,14.572787,5.452867,10.916905,1,6.2441669,8.8931608,2.4866445,14.572787,1,Connecticut,2.2270555,2.2270555
Connecticut,2005,2.5514438,14.543148,5.474577,10.947995,1,6.2480431,8.9623919,2.5514438,14.543148,1,Connecticut,2.2824337,2.2824337
Connecticut,2006,2.4281056,14.624141,5.5143709,11.041321,1,6.2461066,9.021719,2.4281056,14.624141,1,Connecticut,2.2334001,2.2334001
Connecticut,2007,2.3992109,14.475928,5.5527773,11.068824,1,6.2383246,9.057189,2.3992109,14.475928,1,Connecticut,2.2437544,2.2437544
Connecticut,2008,2.3566508,14.613496,5.5520134,11.077208,1,6.2402759,9.1229286,2.3566508,14.613496,1,Connecticut,2.1997962,2.1997962
Connecticut,2009,2.1789463,13.994576,5.5008283,11.079832,1,6.2402759,9.1688929,2.1789463,13.994576,1,Connecticut,2.0241098,2.0241098
Connecticut,2010,2.1227019,14.127152,5.498621,11.09741,1,6.2422233,9.2066336,2.1227019,14.127152,1,Connecticut,2.0464761,2.0464761
Connecticut,2011,2.2333443,12.693031,5.4745469,11.088583,1,6.2402759,9.2391224,2.2333443,12.693031,1,Connecticut,1.8441517,1.8441517
Connecticut,2012,2.1698251,12.936099,5.4844313,11.070537,1,6.2383246,9.2741594,2.1698251,12.936099,1,Connecticut,1.8747149,1.8747149
Connecticut,2013,2.2290599,12.944594,5.464046,11.146056,1,6.2383246,9.3024635,2.2290599,12.944594,1,Connecticut,1.8260212,1.8260212
Connecticut,2014,2.1295433,13.121,5.462903,11.158534,1,6.2344108,9.3664894,2.1295433,13.121,1,Connecticut,1.8267291,1.8267291
Connecticut,2015,2.1104283,12.790303,5.4918528,11.196707,1,6.2265368,9.3948259,2.1104283,12.790303,1,Connecticut,1.7822101,1.7822101
Delaware,2001,2.7721465,14.207765,4.0668483,10.811746,1,6.212606,8.6030035,2.7721465,14.207765,1,Delaware,1.7164048,1.7164048
Delaware,2002,2.6984234,14.247955,4.0348511,10.812754,1,6.2146082,8.6515493,2.6984234,14.247955,1,Delaware,1.6552522,1.6552522
Delaware,2003,2.6512082,14.395927,4.0483007,10.799984,1,6.2166061,8.6936646,2.6512082,14.395927,1,Delaware,1.6614382,1.6614382
Delaware,2004,2.6351471,14.535635,4.0955091,10.779998,1,6.212606,8.7396965,2.6351471,14.535635,1,Delaware,1.6597552,1.6597552
Delaware,2005,2.6700089,14.607493,4.0832009,10.844275,1,6.2186003,8.7767839,2.6700089,14.607493,1,Delaware,1.7024305,1.7024305
Delaware,2006,2.5869746,14.598769,4.1046958,10.867425,1,6.2146082,8.8556633,2.5869746,14.598769,1,Delaware,1.6483915,1.6483915
Delaware,2007,2.6005042,14.71666,4.1022782,10.907606,1,6.2065759,8.8604994,2.6005042,14.71666,1,Delaware,1.6711764,1.6711764
